home_team,away_team,league,match_date,home_form,away_form,home_elo,away_elo,elo_diff,home_odds,draw_odds,away_odds,home_win_prob,draw_prob,away_win_prob,over_odds,under_odds,handi_size,handi_home,handi_away,match_result,over_2_5,btts,home_goals,away_goals,form3home,form3away,homeshots,awayshots,hometarget,awaytarget,homefouls,awayfouls,homecorners,awaycorners,homeyellow,awayyellow,homered,awayred,home_win_pred,draw_pred,away_win_pred,under_2_5_pred,over_2_5_pred,btts_no_pred,btts_yes_pred,match_result_pred,over_under_pred,btts_pred,over_under_actual,btts_actual,match_result_confidence,over_under_confidence,btts_confidence,match_result_confidence_bin,over_under_confidence_bin,btts_confidence_bin
Brentford,Liverpool,E0,2023-01-02,0.6,0.8,0.87746,1.003095,-0.50254,5.65,4.52,1.56,0.17699115044247787,0.22123893805309736,0.641025641025641,1.6,2.37,1.0,1.98,1.92,H,1,1,3.0,1.0,0.7777777777777778,1.0,0.3333333333333333,0.5333333333333333,0.23333333333333334,0.2,0.25,0.4,0.26666666666666666,0.6,0.2,0.6,0.0,0.0,0.5066523302421841,0.18018862476925895,0.3131590449885565,0.15746588297383712,0.8425341170261629,0.27278447470762257,0.7272155252923774,H,Over,Yes,Over,Yes,0.5066523302421841,0.8425341170261629,0.7272155252923774,50-60%,80-90%,70-80%
Montpellier,Marseille,F1,2023-01-02,0.3333333333333333,0.6666666666666666,0.77759,0.8710549999999999,-0.3738599999999997,4.27,3.97,1.78,0.234192037470726,0.2518891687657431,0.5617977528089888,1.67,2.21,0.8,1.89,2.01,A,1,1,1.0,2.0,0.5555555555555556,1.0,0.26666666666666666,0.6,0.03333333333333333,0.3,0.5,0.7,0.3333333333333333,0.4666666666666667,0.4,0.4,0.0,0.2,0.06273237703986134,0.08760873471240856,0.8496588882477298,0.3175568119782214,0.6824431880217786,0.32139214157391627,0.6786078584260837,A,Over,Yes,Over,Yes,0.8496588882477298,0.6824431880217786,0.6786078584260837,80-90%,60-70%,60-70%
Rennes,Nice,F1,2023-01-02,0.6666666666666666,0.6,0.863105,0.82298,0.1605,1.83,3.82,4.19,0.5464480874316939,0.2617801047120419,0.2386634844868735,1.82,2.01,-0.5,1.77,2.02,H,1,1,2.0,1.0,0.4444444444444444,0.5555555555555556,0.6666666666666666,0.23333333333333334,0.16666666666666666,0.1,0.8,0.35,0.3333333333333333,0.13333333333333333,0.2,0.2,0.0,0.0,0.7203226832333808,0.16499474941213063,0.11468256735448853,0.44923285757057296,0.550767142429427,0.558860603656944,0.441139396343056,H,Over,No,Over,Yes,0.7203226832333808,0.550767142429427,0.558860603656944,70-80%,50-60%,50-60%
Arsenal,Newcastle,E0,2023-01-03,1.0,0.8666666666666667,0.966905,0.924875,0.16811999999999988,1.82,3.83,4.39,0.5494505494505494,0.2610966057441253,0.22779043280182235,1.8,2.04,-0.8,2.04,1.86,D,0,0,0.0,0.0,1.0,0.7777777777777778,0.5666666666666667,0.26666666666666666,0.13333333333333333,0.03333333333333333,0.5,0.8,0.3333333333333333,0.3333333333333333,0.8,0.8,0.0,0.0,0.38756140788469734,0.5368767828714517,0.07556180924385097,0.8563901409725547,0.14360985902744525,0.577051234361289,0.4229487656387109,D,Under,No,Under,No,0.5368767828714517,0.8563901409725547,0.577051234361289,50-60%,80-90%,50-60%
Everton,Brighton,E0,2023-01-03,0.13333333333333333,0.6,0.8478600000000001,0.8955700000000001,-0.19084000000000015,3.56,3.46,2.13,0.2808988764044944,0.28901734104046245,0.4694835680751174,1.99,1.84,0.3,2.08,1.82,A,1,1,1.0,4.0,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.6333333333333333,0.13333333333333333,0.26666666666666666,0.4,0.5,0.3333333333333333,0.13333333333333333,0.6,0.2,0.0,0.0,0.09679551552277468,0.14693175397502137,0.7562727305022038,0.18469168899099542,0.8153083110090046,0.22356432570544338,0.7764356742945566,A,Over,Yes,Over,Yes,0.7562727305022038,0.8153083110090046,0.7764356742945566,70-80%,80-90%,70-80%
Leicester,Fulham,E0,2023-01-03,0.4,0.4666666666666667,0.88487,0.852245,0.1305,2.23,3.63,3.16,0.4484304932735426,0.27548209366391185,0.3164556962025316,1.74,2.11,-0.3,1.93,1.97,A,0,0,0.0,1.0,0.3333333333333333,0.6666666666666666,0.5,0.36666666666666664,0.2,0.06666666666666667,0.6,0.55,0.4,0.2,0.4,1.2,0.0,0.0,0.3782351219546728,0.22465363312112482,0.39711124492420263,0.48062132735535557,0.5193786726446444,0.40290480545285645,0.5970951945471435,A,Over,Yes,Under,No,0.39711124492420263,0.5193786726446444,0.5970951945471435,0-50%,50-60%,50-60%
Man United,Bournemouth,E0,2023-01-03,0.8,0.2,0.9291950000000001,0.8233400000000001,0.4234200000000001,1.29,5.94,10.56,0.7751937984496123,0.16835016835016833,0.0946969696969697,1.54,2.48,-1.8,2.03,1.87,H,1,0,3.0,0.0,1.0,0.3333333333333333,0.6,0.23333333333333334,0.2,0.13333333333333333,0.65,0.35,0.4,0.3333333333333333,0.0,0.6,0.0,0.0,0.8759676201982084,0.07668302934232407,0.0473493504594671,0.37041397147609656,0.6295860285239034,0.5161546094042028,0.48384539059579723,H,Over,No,Over,No,0.8759676201982084,0.6295860285239034,0.5161546094042028,80-90%,60-70%,50-60%
Salernitana,Milan,I1,2023-01-04,0.4666666666666667,0.6666666666666666,0.758365,0.9193150000000001,-0.6438000000000001,6.87,4.47,1.48,0.14556040756914118,0.2237136465324385,0.6756756756756757,1.74,2.11,1.3,1.83,2.07,A,1,1,1.0,2.0,0.1111111111111111,0.7777777777777778,0.26666666666666666,0.5333333333333333,0.03333333333333333,0.3333333333333333,1.05,0.65,0.4,0.13333333333333333,0.8,0.2,0.0,0.0,0.023645058644881662,0.06085414755925457,0.9155007937958642,0.26434857364495434,0.7356514263550457,0.3028490726237655,0.6971509273762345,A,Over,Yes,Over,Yes,0.9155007937958642,0.7356514263550457,0.6971509273762345,90-100%,70-80%,60-70%
Sassuolo,Sampdoria,I1,2023-01-04,0.26666666666666666,0.2,0.8120700000000001,0.75214,0.23972000000000027,1.76,3.75,4.73,0.5681818181818182,0.26666666666666666,0.2114164904862579,1.93,1.89,-0.8,1.98,1.92,A,1,1,1.0,2.0,0.1111111111111111,0.0,0.5333333333333333,0.3,0.13333333333333333,0.13333333333333333,0.8,0.95,0.6,0.06666666666666667,0.4,0.6,0.0,0.0,0.2987959465509961,0.35501431306284925,0.34618974038615474,0.5441323870539272,0.4558676129460728,0.4601435493721888,0.5398564506278112,D,Under,Yes,Over,Yes,0.35501431306284925,0.5441323870539272,0.5398564506278112,0-50%,50-60%,50-60%
Spezia,Atalanta,I1,2023-01-04,0.26666666666666666,0.2,0.7579049999999999,0.8655499999999999,-0.4305799999999999,4.74,4.0,1.71,0.21097046413502107,0.25,0.5847953216374269,1.73,2.13,0.8,2.0,1.9,D,1,1,2.0,2.0,0.4444444444444444,0.0,0.23333333333333334,0.6333333333333333,0.1,0.1,0.55,0.55,0.2,0.5333333333333333,0.6,0.6,0.0,0.0,0.19116772570331364,0.5807243896811779,0.22810788461550865,0.6661638393636715,0.33383616063632854,0.6183022837668067,0.38169771623319326,D,Under,No,Over,Yes,0.5807243896811779,0.6661638393636715,0.6183022837668067,50-60%,60-70%,60-70%
